apn,address,base_zoning,lot_size_sqft,zip_code,original_score,calibrated_score,score_improvement,original_tier,calibrated_tier,toc_tier,toc_bonus_points,toc_station,distance_to_transit,final_use_case,investment_grade
4108022029,6367 W 84TH PL,R1V2,6111.9,90045.0,31.89,30.36,-1.5300000000000011,D,D,,,,,Hold/Income Property,False
2128030005,6207 N SYLVIA AVE,R1,7199.8,91335.0,33.17,31.38,-1.7900000000000027,D,D,0.0,0.0,North Hollywood,60279.0,Hold/Income Property,False
5689011027,,R1,499.4,,19.83,22.25,2.4200000000000017,D,D,,,,,Hold/Income Property,False
2159008010,5704 N LINDLEY AVE,R1,5999.3,91316.0,31.75,30.25,-1.5,D,D,0.0,0.0,Firestone,10142.0,Hold/Income Property,False
2685003014,10000 N WHITAKER AVE,RS,8680.2,91343.0,33.7,31.67,-2.030000000000001,D,D,0.0,0.0,Universal City,8143.0,Hold/Income Property,False
5087011019,1122 S LA JOLLA AVE,R1,6883.4,90035.0,32.85,32.63,-0.21999999999999886,D,D,,,,,Hold/Income Property,False
4370004026,801 N STONE CANYON ROAD,RE40,46695.0,90077.0,38.75,40.5,1.75,D,D,,,,,Hold/Income Property,False
5431023019,3042 W LANDA ST,R1,7493.7,90039.0,33.41,31.58,-1.8299999999999983,D,D,0.0,0.0,North Hollywood,40262.0,Hold/Income Property,False
2701022003,19617 W PINE VALLEY WAY,RE11,9163.3,91326.0,33.05,30.94,-2.109999999999996,D,D,,,,,Hold/Income Property,False
6017004006,2126 W FLORENCE AVE,C2,2552.3,90047.0,42.25,49.55,7.299999999999997,D,D,0.0,0.0,Expo/La Cienega,6506.0,Commercial Development,False
2114015007,7336 N DELCO AVE,RS,7499.7,91306.0,32.72,30.88,-1.8399999999999999,D,D,,,,,Hold/Income Property,False
5120027006,822 1/2 E 32ND ST,RD2,5302.9,90011.0,44.88,43.55,-1.3300000000000054,D,D,,,,,Hold/Income Property,False
5455002016,3059 E ISABEL DR,R2,4414.0,90065.0,32.53,33.91,1.3799999999999955,D,D,,,,,Hold/Income Property,False
2509009004,12977 N SPROULE AVE,R1,6102.1,91342.0,31.88,30.35,-1.5299999999999976,D,D,,,,,Hold/Income Property,False
2627033005,8406 N DORRINGTON AVE,R1,6599.7,91402.0,32.5,30.85,-1.6499999999999986,D,D,0.0,0.0,Washington,16956.0,Hold/Income Property,False
5119021007,1246 E ADAMS BLVD,RD1.5,5891.9,90011.0,42.81,40.64,-2.1700000000000017,D,D,,,,,Hold/Income Property,False
2531030006,11952 W HOYT ST,RS,7531.5,91342.0,32.74,30.9,-1.8400000000000034,D,D,,,,,Hold/Income Property,False
7438005001,1551 W OAKHORNE DR,R1,5000.6,90710.0,30.5,29.25,-1.25,D,D,,,,,Hold/Income Property,False
6040014002,8607 S BROADWAY,C2,2568.2,90003.0,40.78,48.57,7.789999999999999,D,D,,,,,Commercial Development,False
2047017006,24258 W BURBANK BLVD,RE11,9941.8,91367.0,33.7,31.46,-2.240000000000002,D,D,,,,,Hold/Income Property,False
5471020022,4841 E LYNN ST,R1,5714.0,90042.0,31.39,29.96,-1.4299999999999997,D,D,0.0,0.0,,,Hold/Income Property,False
5535007011,5363 W LEMON GROVE AVE,R2,8194.1,90038.0,37.5,37.3,-0.20000000000000284,D,D,0.0,0.0,Expo/Bundy,16385.0,Hold/Income Property,False
5121019011,332 E 37TH ST,R2,1877.0,90011.0,26.63,34.88,8.250000000000004,D,D,2.0,8.0,Wilshire/Western,2438.0,Hold/Income Property,False
4406024005,321 S CHADBOURNE AVE,RE11,16738.9,90049.0,34.93,32.85,-2.0799999999999983,D,D,,,,,Hold/Income Property,False
5438005010,2412 W RIVERSIDE DR,R2,3592.4,90039.0,28.98,32.09,3.110000000000003,D,D,,,,,Hold/Income Property,False
2310002015,8207 N AGNES AVE,R1,6049.3,91605.0,31.81,30.3,-1.509999999999998,D,D,0.0,0.0,Wilshire/Western,10532.0,Hold/Income Property,False
4110025034,7471 S DENROCK AVE,R1V2,5876.0,90045.0,31.59,30.13,-1.4600000000000009,D,D,,,,,Hold/Income Property,False
4306023030,9623 W KIRKSIDE ROAD,R1V2,6971.9,90035.0,32.96,31.22,-1.740000000000002,D,D,0.0,0.0,Washington,17642.0,Hold/Income Property,False
5453002046,2658 1/2 E ALICE ST,RD3,6531.7,90065.0,48.16,48.28,0.12000000000000455,D,D,,,,,Hold/Income Property,False
2602011018,17253 W BOSWELL PL,RS,7501.1,91344.0,32.72,36.88,4.160000000000004,D,D,3.0,12.0,Wilshire/Normandie,1100.0,Hold/Income Property,False
5174009027,1606 E NEW JERSEY ST,RD1.5,1258.0,90033.0,33.3,36.01,2.710000000000001,D,D,0.0,0.0,Union Station,4359.0,Hold/Income Property,False
5070007002,1309 S REDONDO BLVD,R2,6403.6,90019.0,35.75,37.4,1.6499999999999986,D,D,,,,,Hold/Income Property,False
5035034007,1825 W 38TH ST,R1,5160.1,90062.0,30.7,29.41,-1.2899999999999991,D,D,,,,,Hold/Income Property,False
5040008022,1342 W 36TH ST,RD1.5,6800.0,90007.0,43.95,41.55,-2.4000000000000057,D,D,0.0,0.0,Long Beach,54781.0,Hold/Income Property,False
2272001017,3913 N HOLLYLINE AVE,RE40,108917.9,91423.0,38.75,40.5,1.75,D,D,,,,,Hold/Income Property,False
2504022019,13970 W FOOTHILL BLVD,R3,11549.2,91342.0,48.14,46.12,-2.020000000000003,D,D,,,,,Multi-Family Development,False
5220019018,2940 N HOLLISTER AVE,R1,5647.2,90032.0,31.31,29.9,-1.4100000000000001,D,D,,,,,Hold/Income Property,False
6063005028,10119 S AVALON BLVD,C2,4054.1,90003.0,45.64,51.05,5.409999999999997,D,C,,,,,Commercial Development,False
2121028003,7043 N JAMIESON AVE,R1,6722.2,91335.0,32.65,30.97,-1.6799999999999997,D,D,0.0,0.0,Hollywood/Highland,6654.0,Hold/Income Property,False
5214009008,4514 E DUDLEY DR,R1,3106.4,90032.0,25.77,27.36,1.5899999999999999,D,D,,,,,Hold/Income Property,False
6032035037,8469 S FLOWER ST,C2,1706.1,90003.0,40.84,48.71,7.869999999999997,D,D,,,,,Commercial Development,False
2153030044,19453 W OXNARD ST,RA,25728.2,91356.0,37.7,34.85,-2.8500000000000014,D,D,0.0,0.0,Expo/La Cienega,15134.0,Hold/Income Property,False
5473031041,1727 N AVE 45,R1,6251.5,90041.0,32.06,30.5,-1.5600000000000023,D,D,0.0,0.0,Firestone,19023.0,Hold/Income Property,False
2552048018,7358 W CHANTILLY CT,RE11,13889.7,91042.0,34.72,33.06,-1.6599999999999966,D,D,0.0,0.0,Sierra Madre Villa,39274.0,Hold/Income Property,False
5691007021,5308 N MOUNT HELENA AVE,R1,10792.4,90041.0,35.7,33.57,-2.1300000000000026,D,D,0.0,0.0,Sierra Madre Villa,34908.0,Hold/Income Property,False
6053013051,228 W 97TH ST,R2,5200.3,90003.0,34.25,34.7,0.45000000000000284,D,D,0.0,0.0,Sierra Madre Villa,42112.0,Hold/Income Property,False
2167018037,5140 N ALHAMA DR,R1,5366.5,91364.0,30.96,29.62,-1.3399999999999999,D,D,0.0,0.0,Expo/La Brea,11136.0,Hold/Income Property,False
6017025024,1831 W 78TH PL,R1,6705.1,90047.0,32.63,30.96,-1.6700000000000017,D,D,0.0,0.0,Firestone,4461.0,Hold/Income Property,False
5116002025,4169 S ASCOT AVE,R2,5187.0,90011.0,34.23,34.69,0.46000000000000085,D,D,,,,,Hold/Income Property,False
5423030042,2205 W EDENDALE LANE,CM,989.3,90026.0,37.4,43.49,6.090000000000003,D,D,0.0,0.0,North Hollywood,42477.0,Commercial Development,False
6019005018,1327 W 78TH ST,R1,5933.6,90044.0,31.67,31.68,0.00999999999999801,D,D,,,,,Hold/Income Property,False
2761034023,9826 N BELMAR AVE,RA,16838.7,91324.0,34.41,33.17,-1.2399999999999949,D,D,,,,,Hold/Income Property,False
5458026015,3418 1/2 N DREW ST,RD2,11519.8,90065.0,49.38,46.86,-2.520000000000003,D,D,,,,,Hold/Income Property,False
2184049001,18117 W DEER VIEW CT,RA,17902.1,91316.0,34.68,33.38,-1.2999999999999972,D,D,0.0,0.0,Sierra Madre Villa,49651.0,Hold/Income Property,False
7414022026,1523 N LYNTON AVE,R1,5759.6,90744.0,31.45,30.01,-1.4399999999999977,D,D,,,,,Hold/Income Property,False
4108020011,6357 W 85TH PL,R1V2,6031.3,90045.0,31.79,30.28,-1.509999999999998,D,D,0.0,0.0,Hollywood/Highland,7054.0,Hold/Income Property,False
2233025004,16138 W GILMORE ST,R1,6321.9,91406.0,32.15,30.57,-1.5799999999999983,D,D,,,,,Hold/Income Property,False
5131019010,1036 E 23RD ST,R4,6227.5,90011.0,49.53,49.73,0.19999999999999574,D,D,0.0,0.0,North Hollywood,42494.0,Multi-Family Development,False
6046003038,9405 S HICKORY ST,R1,3375.2,90002.0,26.44,27.63,1.1899999999999977,D,D,,,,,Hold/Income Property,False
5309002028,5209 E ALMONT ST,R1,5320.5,90032.0,30.9,29.57,-1.3299999999999983,D,D,0.0,0.0,Southwest Museum,7020.0,Hold/Income Property,False
4114026003,7533 W 85TH ST,R1,4903.1,90293.0,30.26,29.15,-1.110000000000003,D,D,,,,,Hold/Income Property,False
5587009010,5767 W VALLEY OAK DR,RE9,3854.2,90068.0,25.89,30.85,4.960000000000001,D,D,2.0,8.0,Heritage Square,2202.0,Hold/Income Property,False
