apn,address,zip_code,zoning,lot_size,building_sqft,units,toc_status,lot_size_sqft,building_size_sqft,base_zoning,latitude,longitude,toc_eligible,high_quality_transit,opportunity_zone,overlay_count,methane_zone,fault_zone,flood_zone,specific_plan_area,assessed_land_value,total_assessed_value,assessor_parcel_id,site_address,toc_toc_tier,toc_bonus_points,toc_description,toc_nearest_station,toc_distance_feet,toc_station_type,toc_station_line,development_score,score_breakdown,suggested_use,investment_tier
5050006038,2432 S WEST BLVD,90016.0,R2-1,"3,818.1 (sq ft)","1,056.0 (sq ft)",1.0,,3818.1,1056.0,R2,34.05618895222974,-118.34721571160935,False,No,none,0,none,none,none,,4016090.6484859986,4431740.883091622,5050006038,2432 S WEST BLVD,0.0,0.0,No TOC Tier,North Hollywood,31638.0,rail,Red,33.32,"{""zoning_score"": 60.0, ""lot_size_score"": 49.0905, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2538027005,11254 W SHELDON ST,91352.0,RA-1-K-HPOZ,"20,014.1 (sq ft)","1,032.0 (sq ft)",1.0,,20014.1,1032.0,RA,34.243962382938975,-118.52505847992542,False,No,none,0,none,none,none,,12394439.99035119,12947927.350769976,2538027005,11254 W SHELDON ST,1.0,5.0,Tier 1 - Transit Edge,Crenshaw/Slauson,2414.0,bus_intersection,Multiple,36.8,"{""zoning_score"": 38.0, ""lot_size_score"": 90.0141, ""toc_bonus"": 10, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4238022017,1803 S STRONGS DR,90291.0,R3-1-O,"3,836.0 (sq ft)","11,408.0 (sq ft)",2.0,,3836.0,11408.0,R3,33.99548821798076,-118.45778330888068,False,No,none,0,none,none,none,,4248530.38968069,8145433.13821132,4238022017,1803 S STRONGS DR,,,,,,,,39.34,"{""zoning_score"": 80.0, ""lot_size_score"": 49.18, ""toc_bonus"": 5, ""financial_score"": 0, ""risk_penalty"": 0}",Multi-Family Development,D
4377037014,10860 W VIA VERONA,90077.0,RE15-1-H-HCR,"12,520.6 (sq ft)","3,592.0 (sq ft)",1.0,,12520.6,3592.0,RE15,34.07002602830834,-118.43075527733777,False,No,none,0,none,none,none,,7629595.2153789345,8708999.463424176,4377037014,10860 W VIA VERONA,,,,,,,,32.51,"{""zoning_score"": 40.0, ""lot_size_score"": 80.0412, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4257015050,12051 W NATIONAL BLVD,90064.0,R1V2,"7,335.5 (sq ft)",922.0 (sq ft),1.0,,7335.5,922.0,R1V2,34.036470508250645,-118.43087967465391,False,No,none,0,none,none,none,,6148213.147404321,6389533.385650404,4257015050,12051 W NATIONAL BLVD,0.0,0.0,No TOC Tier,Highland Park,8666.0,rail,Gold,31.47,"{""zoning_score"": 45.0, ""lot_size_score"": 66.11833333333334, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5473030025,1741 W COLLEGE VIEW PL,90041.0,R1-1-HCR,"9,653.3 (sq ft)","1,891.0 (sq ft)",1.0,,9653.3,1891.0,R1,34.146156135658096,-118.25485061762392,False,No,none,0,none,none,none,,5082684.6096340725,5933725.29366714,5473030025,1741 W COLLEGE VIEW PL,,,,,,,,33.02,"{""zoning_score"": 45.0, ""lot_size_score"": 73.84433333333334, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
2112005019,21121 W COHASSET ST,91303.0,R1-1,"6,209.7 (sq ft)","1,389.0 (sq ft)",1.0,,6209.7,1389.0,R1,34.267522661337814,-118.53766695737102,False,No,none,0,none,none,none,,2709915.088558479,3301745.9798401254,2112005019,21121 W COHASSET ST,,,,,,,,30.46,"{""zoning_score"": 45.0, ""lot_size_score"": 61.0485, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
6018027014,1515 W 79TH ST,90047.0,R1-1,"5,438.6 (sq ft)","1,328.0 (sq ft)",1.0,,5438.6,1328.0,R1,33.93476173102307,-118.2922644664153,False,No,none,0,none,none,none,,5999710.299516977,6579697.601320396,6018027014,1515 W 79TH ST,,,,,,,,29.69,"{""zoning_score"": 45.0, ""lot_size_score"": 57.193000000000005, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
4244005002,12906 W WARREN AVE,90066.0,R1V2,"6,050.2 (sq ft)","2,267.0 (sq ft)",1.0,,6050.2,2267.0,R1V2,33.992294765963074,-118.41941325274378,False,No,none,0,none,none,none,,5027036.305290835,5615245.319711418,4244005002,12906 W WARREN AVE,0.0,0.0,No TOC Tier,Highland Park,4196.0,rail,Gold,30.3,"{""zoning_score"": 45.0, ""lot_size_score"": 60.251, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
5549026030,2178 N BROADVIEW TER,90068.0,R2-1XL,"2,307.0 (sq ft)",,,,2307.0,0.0,R2,34.116253372319754,-118.32300667613691,False,No,none,0,none,none,none,,2000736.3092016603,2000736.3092016603,5549026030,2178 N BROADVIEW TER,,,,,,,,31.81,"{""zoning_score"": 60.0, ""lot_size_score"": 41.535, ""toc_bonus"": 0, ""financial_score"": 25, ""risk_penalty"": 0}",Hold/Income Property,D
